----------------------------
2020-11-20 11:41:30.963184
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-46-13-540692]  28: empty - if nr 1 passed
[11-46-14-437270]  29: empty - if nr 1 passed
[11-46-15-293243]  30: empty - if nr 1 passed
[11-46-16-164670]  31: empty - if nr 1 passed
[11-46-17-13975]  32: empty - if nr 1 passed
[11-46-17-13975]  33: empty - if nr 1 passed
[11-46-17-854417]  34: empty - if nr 1 passed
[11-46-19-807402]  35: empty - if nr 1 passed
[11-46-20-462872]  36: secret_gesture - if nr 1 passed
[11-46-20-462872]  37: peace - if nr 1 passed
[11-46-20-462872]  38: peace - if nr 2 passed
[11-46-20-462872]  39: peace - if nr 3 passed
[11-46-20-462872]  40: peace - if nr 4 passed
[11-46-21-111673]  41: secret_gesture - if nr 1 passed
[11-46-21-111673]  42: peace - if nr 1 passed
[11-46-21-111673]  43: peace - if nr 2 passed
[11-46-21-111673]  44: peace - if nr 3 passed
[11-46-21-111673]  45: peace - if nr 4 passed
[11-46-21-111673]  46: empty - if nr 1 passed
[11-46-21-766898]  47: secret_gesture - if nr 1 passed
[11-46-21-766898]  48: peace - if nr 1 passed
[11-46-21-766898]  49: peace - if nr 2 passed
[11-46-21-766898]  50: peace - if nr 3 passed
[11-46-21-766898]  51: peace - if nr 4 passed
[11-46-21-766898]  52: empty - if nr 1 passed
[11-46-22-415664]  53: secret_gesture - if nr 1 passed
[11-46-22-415664]  54: peace - if nr 1 passed
[11-46-22-431248]  55: peace - if nr 2 passed
[11-46-22-431248]  56: peace - if nr 3 passed
[11-46-22-431248]  57: peace - if nr 4 passed
[11-46-22-431248]  58: empty - if nr 1 passed
[11-46-23-86726]  59: secret_gesture - if nr 1 passed
[11-46-23-86726]  60: peace - if nr 1 passed
[11-46-23-86726]  61: peace - if nr 2 passed
[11-46-23-86726]  62: peace - if nr 3 passed
[11-46-23-86726]  63: peace - if nr 4 passed
[11-46-23-788917]  64: secret_gesture - if nr 1 passed
[11-46-23-788917]  65: peace - if nr 1 passed
[11-46-23-788917]  66: peace - if nr 2 passed
[11-46-23-788917]  67: peace - if nr 3 passed
[11-46-23-788917]  68: peace - if nr 4 passed
[11-46-23-804501]  69: empty - if nr 1 passed
[11-46-24-506848]  70: secret_gesture - if nr 1 passed
[11-46-24-506848]  71: peace - if nr 1 passed
[11-46-24-506848]  72: peace - if nr 2 passed
[11-46-24-506848]  73: peace - if nr 3 passed
[11-46-24-506848]  74: peace - if nr 4 passed
[11-46-24-506848]  75: empty - if nr 1 passed
[11-46-25-177809]  76: secret_gesture - if nr 1 passed
[11-46-25-177809]  77: peace - if nr 1 passed
[11-46-25-177809]  78: peace - if nr 2 passed
[11-46-25-177809]  79: peace - if nr 3 passed
[11-46-25-177809]  80: peace - if nr 4 passed
[11-46-25-177809]  81: empty - if nr 1 passed
[11-46-26-42949]  82: secret_gesture - if nr 1 passed
[11-46-26-42949]  83: peace - if nr 1 passed
[11-46-26-42949]  84: peace - if nr 2 passed
[11-46-26-42949]  85: peace - if nr 3 passed
[11-46-26-42949]  86: peace - if nr 4 passed
[11-46-26-42949]  87: empty - if nr 1 passed
[11-46-26-883262]  88: secret_gesture - if nr 1 passed
[11-46-26-883262]  89: peace - if nr 1 passed
[11-46-26-883262]  90: peace - if nr 2 passed
[11-46-26-883262]  91: peace - if nr 3 passed
[11-46-26-883262]  92: peace - if nr 4 passed
[11-46-26-883262]  93: empty - if nr 1 passed
[11-46-27-717188]  94: secret_gesture - if nr 1 passed
[11-46-27-717188]  95: peace - if nr 1 passed
[11-46-27-717188]  96: peace - if nr 2 passed
[11-46-27-717188]  97: peace - if nr 3 passed
[11-46-27-732769]  98: peace - if nr 4 passed
[11-46-27-732769]  99: empty - if nr 1 passed
[11-46-27-732769]  100: fist - if nr 1 passed
[11-46-27-732769]  101: fist - if nr 2 passed
[11-46-28-381535]  102: secret_gesture - if nr 1 passed
[11-46-28-381535]  103: peace - if nr 1 passed
[11-46-28-381535]  104: peace - if nr 2 passed
[11-46-28-381535]  105: peace - if nr 3 passed
[11-46-28-381535]  106: peace - if nr 4 passed
[11-46-28-381535]  107: empty - if nr 1 passed
[11-46-29-670208]  108: secret_gesture - if nr 1 passed
[11-46-29-670208]  109: peace - if nr 1 passed
[11-46-29-670208]  110: peace - if nr 2 passed
[11-46-29-670208]  111: peace - if nr 3 passed
[11-46-29-670208]  112: peace - if nr 4 passed
[11-46-30-510376]  113: secret_gesture - if nr 1 passed
[11-46-30-510376]  114: peace - if nr 1 passed
[11-46-30-510376]  115: peace - if nr 2 passed
[11-46-30-510376]  116: peace - if nr 3 passed
[11-46-30-510376]  117: peace - if nr 4 passed
[11-46-31-359864]  118: empty - if nr 1 passed
[11-46-40-620587]  119: fist - if nr 1 passed
[11-46-40-620587]  120: fist - if nr 2 passed
[11-46-42-896552]  121: empty - if nr 1 passed
[11-46-47-425737]  122: fist - if nr 1 passed
[11-46-47-425737]  123: fist - if nr 2 passed
[11-46-48-65532]  124: okay - if nr 1 passed
[11-46-48-65532]  125: okay - if nr 2 passed
[11-46-48-65532]  126: okay - if nr 3 passed
[11-46-48-65532]  127: okay - if nr 4 passed
[11-46-48-65532]  128: fist - if nr 1 passed
[11-46-48-65532]  129: fist - if nr 2 passed
----------------------------
2020-11-20 11:51:26.610501
Resolution: 800 x 450
FPS: 60
Codec: huj
----------------------------
[11-51-26-610501]  1: empty - if nr 1 passed
[11-51-26-610501]  2: empty - if nr 2 passed
[11-51-26-610501]  3: empty - if nr 3 passed
[11-51-26-612554]  4: empty - if nr 4 passed
[11-51-26-612554]  5: empty = if nr 5 passed
[11-51-26-612554]  6: Empty
[11-51-26-612554]  7: Scroll Up - if nr 1 passed
[11-51-26-612554]  8: Scroll Up - if nr 2 passed
[11-51-26-612554]  9: Scroll Up - if nr 3 passed
[11-51-26-612554]  10: Scroll Up - if nr 4 passed
[11-51-26-612554]  11: Scroll Up - if nr 5 passed
[11-51-26-612554]  12: fist - if nr 1 passed
[11-51-26-612554]  13: fist - if nr 2 passed
[11-51-26-612554]  14: fist - if nr 3 passed
[11-51-26-612554]  15: fist - if nr 4 passed
[11-51-32-464358]  16: secret_gesture - if nr 1 passed
[11-51-32-464358]  17: secret_gesture - if nr 2 passed
[11-51-32-464358]  18: secret_gesture - if nr 3 passed
[11-51-32-464358]  19: secret_gesture - if nr 4 passed
[11-51-32-464358]  20: Secret_gesture - if nr 5 passed
[11-51-32-464358]  21: Secret_gesture
[11-51-32-464358]  22: peace - if nr 1 passed
[11-51-32-464358]  23: peace - if nr 2 passed
[11-51-32-464358]  24: peace - if nr 3 passed
[11-51-32-464358]  25: peace - if nr 4 passed
[11-51-32-464358]  26: peace - if nr 5 passed
[11-51-32-464358]  27: peace - if nr 6 passed
[11-51-32-464358]  28: Peace
[11-51-33-514348]  29: empty - if nr 1 passed
[11-51-33-514348]  30: empty - if nr 2 passed
[11-51-33-514348]  31: empty - if nr 3 passed
[11-51-33-514348]  32: empty - if nr 4 passed
[11-51-33-514348]  33: empty = if nr 5 passed
[11-51-33-514348]  34: Empty
[11-51-42-759015]  35: swipe left - if nr 1 passed
[11-51-42-774601]  36: swipe left - if nr 2 passed
[11-51-42-774601]  37: swipe left - if nr 3 passed
[11-51-42-774601]  38: swipe left - if nr 4 passed
[11-51-42-774601]  39: swipe left - if nr 5 passed
[11-51-42-774601]  40: swipe left - if nr 6 passed
[11-51-42-774601]  41: Swipe left
[11-51-53-979032]  42: empty - if nr 1 passed
[11-51-53-979032]  43: empty - if nr 2 passed
[11-51-53-979032]  44: empty - if nr 3 passed
[11-51-53-979032]  45: empty - if nr 4 passed
[11-51-53-979032]  46: empty = if nr 5 passed
[11-51-53-979032]  47: Empty
[11-52-7-890413]  48: swipe left - if nr 1 passed
[11-52-7-890413]  49: swipe left - if nr 2 passed
[11-52-7-890413]  50: swipe left - if nr 3 passed
[11-52-7-890413]  51: swipe left - if nr 4 passed
[11-52-7-890413]  52: swipe left - if nr 5 passed
[11-52-7-890413]  53: swipe left - if nr 6 passed
[11-52-7-890413]  54: Swipe left
[11-52-12-751942]  55: empty - if nr 1 passed
[11-52-12-751942]  56: empty - if nr 2 passed
[11-52-12-751942]  57: empty - if nr 3 passed
[11-52-12-751942]  58: empty - if nr 4 passed
[11-52-14-996296]  59: empty - if nr 1 passed
[11-52-15-11977]  60: empty - if nr 2 passed
[11-52-15-11977]  61: empty - if nr 3 passed
[11-52-15-11977]  62: empty - if nr 4 passed
[11-52-17-682562]  63: empty - if nr 1 passed
[11-52-17-689110]  64: empty - if nr 2 passed
[11-52-17-689110]  65: empty - if nr 3 passed
[11-52-17-689110]  66: empty - if nr 4 passed
[11-52-17-689110]  67: empty = if nr 5 passed
[11-52-17-689110]  68: Empty
[11-52-24-473022]  69: secret_gesture - if nr 1 passed
[11-52-24-473022]  70: secret_gesture - if nr 2 passed
[11-52-24-473022]  71: secret_gesture - if nr 3 passed
[11-52-24-473022]  72: secret_gesture - if nr 4 passed
[11-52-24-473022]  73: peace - if nr 1 passed
[11-52-24-473022]  74: peace - if nr 2 passed
[11-52-24-473022]  75: peace - if nr 3 passed
[11-52-24-473022]  76: peace - if nr 4 passed
[11-52-24-473022]  77: peace - if nr 5 passed
[11-52-24-473022]  78: peace - if nr 6 passed
[11-52-24-488607]  79: Peace
[11-52-27-635686]  80: empty - if nr 1 passed
[11-52-27-635686]  81: empty - if nr 2 passed
[11-52-27-635686]  82: empty - if nr 3 passed
[11-52-27-635686]  83: empty - if nr 4 passed
